Position,Track Name,Artist,Genre,Streams,Date,Year,Month,Weeks on Chart
1,La Diabla,Xavi,Latin,39499314,2024-01-25,2024,1,7
128,Amargura,Karol G,Latin,9834351,2024-01-25,2024,1,36
129,Why'D You Only Call Me When You'Re High?,Arctic Monkeys,Rock,9779524,2024-01-25,2024,1,111
130,Perfect Night,Le Sserafim,K-Pop,9770065,2024-01-25,2024,1,13
131,Cardigan,Taylor Swift,Pop,9759708,2024-01-25,2024,1,57
132,La Bachata,Manuel Turizo,Latin,9736795,2024-01-25,2024,1,82
133,Whatever,Kygo,Electronic,9720582,2024-01-25,2024,1,1
134,Heather,Conan Gray,Pop,9671374,2024-01-25,2024,1,146
135,Pehle Bhi Main,Vishal Mishra,Bollywood,9649865,2024-01-25,2024,1,7
136,Husn,Anuv Jain,Bollywood,9601826,2024-01-25,2024,1,4
137,Modo Dnd,Xavi,Latin,9574220,2024-01-25,2024,1,4
138,Mr. Brightside,The Killers,Rock,9573654,2024-01-25,2024,1,122
139,Father Stretch My Hands Pt. 1,Kanye West,Hip-Hop,9552950,2024-01-25,2024,1,8
140,No Te Quieren Conmigo,Gaby Music,Other,9510586,2024-01-25,2024,1,1
141,Set Fire To The Rain,Adele,Pop,9488633,2024-01-25,2024,1,58
142,The Real Slim Shady,Eminem,Hip-Hop,9485546,2024-01-25,2024,1,116
143,Stay (With Justin Bieber),The Kid Laroi,Hip-Hop,9384440,2024-01-25,2024,1,132
144,Nonsense,Sabrina Carpenter,Pop,9296506,2024-01-25,2024,1,53
145,505,Arctic Monkeys,Rock,9258294,2024-01-25,2024,1,107
146,Believer,Imagine Dragons,Rock,9257951,2024-01-25,2024,1,360
147,Don’T Blame Me,Taylor Swift,Pop,9242502,2024-01-25,2024,1,75
148,Evergreen,Richy Mitch & The Coal Miners,Indie Pop,9212535,2024-01-25,2024,1,2
127,Ghost,Justin Bieber,Pop,9862045,2024-01-25,2024,1,120
149,Moonlight,Kali Uchis,R&B,9182634,2024-01-25,2024,1,46
126,Summertime Sadness,Lana Del Rey,Indie Pop,9895549,2024-01-25,2024,1,76
124,Ando,Jere Klein,Latin,9912671,2024-01-25,2024,1,8
103,Lovely (With Khalid),Billie Eilish,Pop,10562959,2024-01-25,2024,1,301
104,Just The Way You Are,Bruno Mars,Pop,10554117,2024-01-25,2024,1,56
105,Creepin' (With The Weeknd & 21 Savage),Metro Boomin,Hip-Hop,10538560,2024-01-25,2024,1,60
106,Can’T Catch Me Now - From The Hunger Games: The Ballad Of Songbirds & Snakes,Olivia Rodrigo,Pop,10516887,2024-01-25,2024,1,12
107,Skin And Bones,David Kushner,Indie Pop,10478308,2024-01-25,2024,1,1
108,Something In The Orange,Zach Bryan,Country,10472648,2024-01-25,2024,1,55
109,I Love You So,The Walters,Indie Pop,10463839,2024-01-25,2024,1,89
110,Diluvio,Rauw Alejandro,Latin,10403918,2024-01-25,2024,1,11
111,Romantic Homicide,D4Vd,R&B,10365598,2024-01-25,2024,1,73
112,In The End,Linkin Park,Rock,10364089,2024-01-25,2024,1,29
113,Stargirl Interlude,The Weeknd,R&B,10351644,2024-01-25,2024,1,78
114,Calm Down (With Selena Gomez),Rema,Afrobeats,10334606,2024-01-25,2024,1,74
115,No Role Modelz,J. Cole,Hip-Hop,10314817,2024-01-25,2024,1,131
116,Mockingbird,Eminem,Hip-Hop,10290475,2024-01-25,2024,1,67
117,My Eyes,Travis Scott,Hip-Hop,10264231,2024-01-25,2024,1,11
118,Demons,Imagine Dragons,Rock,10262662,2024-01-25,2024,1,61
119,Classy 101,Feid,Latin,10124361,2024-01-25,2024,1,43
120,Can'T Hold Us (Feat. Ray Dalton),Macklemore,Hip-Hop,10010144,2024-01-25,2024,1,102
121,Un X100To,Grupo Frontera,Latin,10009864,2024-01-25,2024,1,41
122,500Lbs,Lil Tecca,Hip-Hop,9963983,2024-01-25,2024,1,14
123,Save Your Tears,The Weeknd,R&B,9924791,2024-01-25,2024,1,158
125,We Found Love,Rihanna,R&B,9900906,2024-01-25,2024,1,47
151,Take Me To Church,Hozier,Folk/Pop,9166791,2024-01-25,2024,1,126
152,Perfect,Ed Sheeran,Pop,9147003,2024-01-25,2024,1,356
153,Trance (With Travis Scott & Young Thug),Metro Boomin,Hip-Hop,9107560,2024-01-25,2024,1,34
180,Jimmy Cooks (Feat. 21 Savage),Drake,Hip-Hop,8601554,2024-01-25,2024,1,79
181,Iris,The Goo Goo Dolls,Classic Pop,8580662,2024-01-25,2024,1,26
182,Danza Kuduro,Don Omar,Latin,8565614,2024-01-25,2024,1,18
183,Say Yes To Heaven,Lana Del Rey,Indie Pop,8516860,2024-01-25,2024,1,31
184,Bones,Imagine Dragons,Rock,8479761,2024-01-25,2024,1,93
185,Ella Baila Sola,Eslabon Armado,Latin,8478682,2024-01-25,2024,1,45
186,Skyfall,Adele,Pop,8462844,2024-01-25,2024,1,4
187,Dandelions,Ruth B.,Pop,8453576,2024-01-25,2024,1,127
188,A Sky Full Of Stars,Coldplay,Pop,8438867,2024-01-25,2024,1,1
189,Crazyz,Fuerza Regida,Latin,8432290,2024-01-25,2024,1,2
190,Maps,Maroon 5,Pop,8389593,2024-01-25,2024,1,6
191,Those Eyes,New West,Indie Pop,8360995,2024-01-25,2024,1,43
192,Save Your Tears (Remix) (With Ariana Grande) - Bonus Track,The Weeknd,R&B,8357183,2024-01-25,2024,1,106
193,Elovrga,Alex Favela,Other,8266566,2024-01-25,2024,1,21
194,Mi Ex Tenía Razón,Karol G,Latin,8231530,2024-01-25,2024,1,23
195,Godzilla (Feat. Juice Wrld),Eminem,Hip-Hop,8227492,2024-01-25,2024,1,87
196,Sure Thing,Miguel,R&B,8215506,2024-01-25,2024,1,58
197,You’Re Losing Me (From The Vault),Taylor Swift,Pop,8176582,2024-01-25,2024,1,9
198,Es Un Secreto,Plan B,Latin,8157431,2024-01-25,2024,1,18
199,All Of Me,21 Savage,Hip-Hop,8157135,2024-01-25,2024,1,2
200,Super Shy,Newjeans,K-Pop,8134327,2024-01-25,2024,1,28
179,Until I Found You (With Em Beihold) - Em Beihold Version,Stephen Sanchez,Indie Pop,8634348,2024-01-25,2024,1,56
178,First Person Shooter (Feat. J. Cole),Drake,Hip-Hop,8647202,2024-01-25,2024,1,16
177,Sparks,Coldplay,Pop,8649126,2024-01-25,2024,1,6
176,Runaway,Kanye West,Hip-Hop,8659792,2024-01-25,2024,1,6
154,Heat Waves,Glass Animals,Indie Rock,9100471,2024-01-25,2024,1,157
155,The Color Violet,Tory Lanez,Hip-Hop,9075322,2024-01-25,2024,1,49
156,O Me Voy O Te Vas,Natanael Cano,Latin,9041840,2024-01-25,2024,1,3
157,Too Many Nights (Feat. Don Toliver & With Future),Metro Boomin,Hip-Hop,9021658,2024-01-25,2024,1,46
158,Lose Yourself,Eminem,Hip-Hop,8980871,2024-01-25,2024,1,130
159,Say You Won'T Let Go,James Arthur,Pop,8979746,2024-01-25,2024,1,290
160,Last Night,Morgan Wallen,Country,8977117,2024-01-25,2024,1,49
161,Creep,Radiohead,Rock,8913676,2024-01-25,2024,1,28
162,Ain'T No Mountain High Enough,Marvin Gaye,R&B,8905077,2024-01-25,2024,1,1
163,Here With Me,D4Vd,R&B,8876416,2024-01-25,2024,1,64
102,Shut Up My Moms Calling,Hotel Ugly,Indie,10647306,2024-01-25,2024,1,55
164,Dark Red,Steve Lacy,R&B,8865595,2024-01-25,2024,1,110
166,August,Taylor Swift,Pop,8849290,2024-01-25,2024,1,50
167,Everybody Wants To Rule The World,Tears For Fears,Rock,8815764,2024-01-25,2024,1,70
168,Flashing Lights,Kanye West,Hip-Hop,8808789,2024-01-25,2024,1,18
169,Not Allowed,Tv Girl,Indie Pop,8781087,2024-01-25,2024,1,6
170,That'S What I Like,Bruno Mars,Pop,8772873,2024-01-25,2024,1,96
171,The Hills,The Weeknd,R&B,8756677,2024-01-25,2024,1,92
172,Take On Me,A-Ha,Classic Pop,8733973,2024-01-25,2024,1,24
173,Goosebumps,Travis Scott,Hip-Hop,8685139,2024-01-25,2024,1,231
174,Cold Heart - Pnau Remix,Elton John,Classic Pop,8679738,2024-01-25,2024,1,123
175,Something Just Like This,The Chainsmokers,Electronic,8673742,2024-01-25,2024,1,194
165,Do I Wanna Know?,Arctic Monkeys,Rock,8864025,2024-01-25,2024,1,121
101,Lovers Rock,Tv Girl,Indie Pop,10651800,2024-01-25,2024,1,31
150,Vois Sur Ton Chemin - Techno Mix,Bennett,Electronic,9177781,2024-01-25,2024,1,14
99,Every Breath You Take,The Police,Rock,10762841,2024-01-25,2024,1,111
28,Que Onda,Calle 24,Latin,17359524,2024-01-25,2024,1,21
29,Vampire,Olivia Rodrigo,Pop,17197048,2024-01-25,2024,1,30
30,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,Pop,17040482,2024-01-25,2024,1,28
31,The Night We Met,Lord Huron,Folk/Pop,16989749,2024-01-25,2024,1,66
32,Standing Next To You,Jung Kook,K-Pop,16897865,2024-01-25,2024,1,12
33,Riptide,Vance Joy,Folk/Pop,16408000,2024-01-25,2024,1,154
34,Feather,Sabrina Carpenter,Pop,16349100,2024-01-25,2024,1,8
35,Si No Estás,Íñigo Quintero,Latin,16232803,2024-01-25,2024,1,18
36,As It Was,Harry Styles,Pop,16202738,2024-01-25,2024,1,95
37,Never Lose Me,Flo Milli,Hip-Hop,16184932,2024-01-25,2024,1,2
38,Surround Sound (Feat. 21 Savage & Baby Tate),Jid,Hip-Hop,16112969,2024-01-25,2024,1,10
39,Harley Quinn,Fuerza Regida,Latin,15702363,2024-01-25,2024,1,13
40,Rich Baby Daddy (Feat. Sexyy Red & Sza),Drake,Hip-Hop,15666294,2024-01-25,2024,1,15
41,Agora Hills,Doja Cat,Hip-Hop,15624034,2024-01-25,2024,1,18
42,I Remember Everything (Feat. Kacey Musgraves),Zach Bryan,Country,15541330,2024-01-25,2024,1,22
43,Daylight,David Kushner,Indie Pop,15492550,2024-01-25,2024,1,41
44,Prada,Cassö,Electronic,15242347,2024-01-25,2024,1,23
45,Yellow,Coldplay,Pop,14778499,2024-01-25,2024,1,162
46,Dance The Night - From Barbie The Album,Dua Lipa,Pop,14384772,2024-01-25,2024,1,35
47,Según Quién,Maluma,Latin,14217153,2024-01-25,2024,1,19
48,Née-Nah,21 Savage,Hip-Hop,14045530,2024-01-25,2024,1,2
27,Houdini,Dua Lipa,Pop,17740658,2024-01-25,2024,1,11
26,Starboy,The Weeknd,R&B,17951591,2024-01-25,2024,1,173
25,Water,Tyla,Afrobeats,18049559,2024-01-25,2024,1,18
24,Beautiful Things,Benson Boone,Pop,18220015,2024-01-25,2024,1,1
100,Ftcu,Nicki Minaj,Hip-Hop,10732055,2024-01-25,2024,1,6
3,Greedy,Tate Mcrae,Pop,35597443,2024-01-25,2024,1,19
4,Lovin On Me,Jack Harlow,Hip-Hop,34044101,2024-01-25,2024,1,11
5,"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd,R&B,31767835,2024-01-25,2024,1,16
6,My Love Mine All Mine,Mitski,Indie Pop,31544921,2024-01-25,2024,1,18
7,Cruel Summer,Taylor Swift,Pop,29602318,2024-01-25,2024,1,51
8,Stick Season,Noah Kahan,Folk/Pop,28528162,2024-01-25,2024,1,16
9,Redrum,21 Savage,Hip-Hop,28235790,2024-01-25,2024,1,2
10,Luna,Feid,Latin,28125311,2024-01-25,2024,1,7
11,Igual Que Un Ángel (With Peso Pluma),Kali Uchis,R&B,27913857,2024-01-25,2024,1,2
49,Die For You,The Weeknd,R&B,13978705,2024-01-25,2024,1,102
12,La Víctima,Xavi,Latin,26422199,2024-01-25,2024,1,9
14,Popular (With Playboi Carti & Madonna) - From The Idol Vol. 1 (Music From The Hbo Original Series),The Weeknd,R&B,23280818,2024-01-25,2024,1,34
15,"Young Miko: Bzrp Music Sessions, Vol. 58/66",Bizarrap,Latin,23113402,2024-01-25,2024,1,2
16,Bellakeo,Peso Pluma,Latin,21160685,2024-01-25,2024,1,7
17,Lose Control,Teddy Swims,Pop,20893621,2024-01-25,2024,1,11
18,I Wanna Be Yours,Arctic Monkeys,Rock,20854454,2024-01-25,2024,1,81
19,Perro Negro,Bad Bunny,Latin,20265439,2024-01-25,2024,1,15
20,Strangers,Kenya Grace,Electronic,20068313,2024-01-25,2024,1,21
